Category,Level1,Level2,Level3,Level4,Level5,COND1,COND2,COND3,COND4
GU:161 Eubacterium sp. CAG:161,Firmicutes,Clostridiales,Eubacteriaceae,Eubacterium,GU:161,21,88,52,90
GU:162 Bacteroides coprocola,Bacteroidetes,Bacteroidales,Bacteroidaceae,Bacteroides,GU:162,329,2911,816,51
GU:163 Clostridiales,Firmicutes,Clostridiales,,,GU:163,637,878,1099,313
GU:164 Prevotella copri,Bacteroidetes,Bacteroidales,Prevotellaceae,Prevotella,GU:164,4974,54094,16705,28262
GU:165 unclassified Clostridiales,Firmicutes,Clostridiales,unclassified Clostridiales,unclassified Clostridiales,GU:165,198,169,431,123
GU:166 Collinsella aerofaciens,Actinobacteria,Coriobacteriales,Coriobacteriaceae,Collinsella,GU:166,146,314,103,175
GU:167 Clostridium sp. CAG:167,Firmicutes,Clostridiales,unclassified Clostridiales,unclassified Clostridiales,GU:167,70,202,65,4
GU:168 Butyricimonas,Bacteroidetes,Bacteroidales,Porphyromonadaceae,Butyricimonas,GU:168,47,57,45,102
GU:169 Clostridium sp. CAG:169,Firmicutes,Clostridiales,unclassified Clostridiales,unclassified Clostridiales,GU:169,50,25,1,1
GU:17 Ruminococcus sp. CAG:17,Firmicutes,Clostridiales,Lachnospiraceae,Blautia,GU:17,302,850,549,546
GU:170 Firmicutes bacterium CAG:170,Firmicutes,unclassified Firmicutes,unclassified Firmicutes,unclassified Firmicutes,GU:170,213,395,8,1
GU:171 Lachnoclostridium,Firmicutes,Clostridiales,Lachnospiraceae,Lachnoclostridium,GU:171,24,45,0,37
GU:172 Faecalibacterium,Firmicutes,Clostridiales,Ruminococcaceae,Faecalibacterium,GU:172,37,66,840,191
GU:173 Clostridiales,Firmicutes,Clostridiales,,,GU:173,117,108,57,113
GU:174 Eubacterium,Firmicutes,Clostridiales,Eubacteriaceae,Eubacterium,GU:174,48,45,25,86
GU:175 uncultured Faecalibacterium sp.,Firmicutes,Clostridiales,Ruminococcaceae,Faecalibacterium,GU:175,98,18,28,3
GU:176 Firmicutes bacterium CAG:176,Firmicutes,unclassified Firmicutes,unclassified Firmicutes,unclassified Firmicutes,GU:176,385,816,2733,106
GU:177 Ruminococcus sp. CAG:177,Firmicutes,Clostridiales,Ruminococcaceae,Ruminococcus,GU:177,1085,610,736,930
GU:1770 Roseburia,Firmicutes,Clostridiales,Lachnospiraceae,Roseburia,GU:1770,0,0,2,1
GU:178 NA,,,,,GU:178,44,64,3,27
GU:179 unclassified Ruminococcaceae,Firmicutes,Clostridiales,Ruminococcaceae,unclassified Ruminococcaceae,GU:179,37,1,3,86
GU:18 Roseburia sp. CAG:18,Firmicutes,Clostridiales,Lachnospiraceae,Roseburia,GU:18,11473,6182,1861,729
GU:180 Eubacterium sp. CAG:180,Firmicutes,Clostridiales,Eubacteriaceae,Eubacterium,GU:180,1958,1529,1373,950
GU:181 Lachnoclostridium,Firmicutes,Clostridiales,Lachnospiraceae,Lachnoclostridium,GU:181,4,0,0,3
GU:182 Roseburia sp. CAG:182,Firmicutes,Clostridiales,Lachnospiraceae,Roseburia,GU:182,38,16,528,82
